Subject,Method,Class,f1_score,support
sub5,E2E,Push-chair,0.7062595845531856,4536
sub5,E2E,Sit-on-chair,0.7126032218762691,4536
sub5,E2E,Sit-on-couch,0.6916897506925208,4536
sub5,E2E,Sit-on-table,0.4912772585669782,4536
sub5,E2E,Stand-on-couch,0.575153133343804,4536
sub5,E2E,Wear-backpack,0.7737379021710699,4536
sub6,GR,Clean-table,0.6954112971215224,4328
sub6,GR,Nothing,0.9555136250565355,138725
sub6,GR,Pick-up-backpack,0.34509499806126404,4207
sub6,GR,Push-chair,0.5569679119516354,4328
sub6,GR,Sit-on-chair,0.36638367474102346,4332
sub6,GR,Sit-on-couch,0.024618190107134716,4327
sub6,GR,Sit-on-table,0.22436625047294742,4325
sub6,GR,Stand-on-couch,0.7247249869041383,4447
sub6,GR,Wear-backpack,0.7818696883852692,4447
sub6,BF,Clean-table,0.8253338622239852,4328
sub6,BF,Nothing,0.9519489822660959,138725
sub6,BF,Pick-up-backpack,0.497858488949803,4207
sub6,BF,Push-chair,0.8115971724208585,4328
sub6,BF,Sit-on-chair,0.5690642902609803,4332
sub6,BF,Sit-on-couch,0.4581984897518878,4327
sub6,BF,Sit-on-table,0.0064794816414686825,4325
sub6,BF,Stand-on-couch,0.7053243211194118,4447
sub6,BF,Wear-backpack,0.1084967320261438,4447
sub6,E2E,Clean-table,0.8310959238467172,4536
sub6,E2E,Nothing,0.9502543353638296,108375
sub6,E2E,Pick-up-backpack,0.8477403358503325,4410
sub6,E2E,Push-chair,0.8784379092749137,4536
sub6,E2E,Sit-on-chair,0.6323546344271733,4536
sub6,E2E,Sit-on-couch,0.44360902255639095,4536
sub6,E2E,Sit-on-table,0.8185037627268703,4536
sub6,E2E,Stand-on-couch,0.7885496183206107,4662
sub6,E2E,Wear-backpack,0.8131659457748708,4662
