Class,BF,E2E,GR,BF_minus_E2E,E2E_minus_BF
Clean-table,0.7837370242214533,0.7909670746423031,0.7170412188325552,-0.007230050420849787,0.007230050420849787
Nothing,0.950729650550804,0.9435217194309616,0.947861815035248,0.0072079311198424145,-0.0072079311198424145
Pick-up-backpack,0.7253444046046423,0.7911652078774617,0.6584717871446132,-0.06582080327281936,0.06582080327281936
Push-chair,0.7708714198659354,0.7939259415847514,0.607973527633714,-0.023054521718815946,0.023054521718815946
Sit-on-chair,0.6282075894285531,0.703603205654067,0.4158802283583828,-0.07539561622551383,0.07539561622551383
Sit-on-couch,0.6582296480625667,0.6368004522328999,0.323895304766576,0.021429195829666736,-0.021429195829666736
Sit-on-table,0.4885691174592362,0.7413660782808903,0.3409502523987515,-0.2527969608216541,0.2527969608216541
Stand-on-couch,0.7231818181818181,0.7677586647675395,0.6866676871268942,-0.044576846585721364,0.044576846585721364
Wear-backpack,0.6159038013964313,0.7865374808771035,0.7593205051112447,-0.1706336794806722,0.1706336794806722
